,City,American Restaurant,Argentinian Restaurant,Asian Restaurant,Australian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Buffet,Burger Joint,Cafeteria,Café,Caucasian Restaurant,Chinese Restaurant,Coffee Shop,Creperie,Cupcake Shop,Deli / Bodega,Dessert Shop,Diner,Eastern European Restaurant,Falafel Restaurant,Fast Food Restaurant,Fish & Chips Shop,Food Court,Food Truck,French Restaurant,Gastropub,Greek Restaurant,Ice Cream Shop,Indian Restaurant,Irish Pub,Israeli Restaurant,Italian Restaurant,Japanese Restaurant,Jewish Restaurant,Juice Bar,Kosher Restaurant,Latin American Restaurant,Lebanese Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Pizza Place,Restaurant,Russian Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Spanish Restaurant,Steakhouse,Sushi Restaurant,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Vegetarian / Vegan Restaurant,Wings Joint,District,Population_Estimate_2018,Population_Census_2008,Area_KM,Density_Per_KM,Socio_Economic_Cluster,Socio_Economic_Ranking,latitude,longitude,Categorical_value
10,Bnei Brak,0.017543859649122806,0.017543859649122806,0.07017543859649122,0.0,0.0,0.0,0.07017543859649122,0.0,0.0,0.017543859649122806,0.0,0.07017543859649122,0.0,0.2982456140350877,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.03508771929824561,0.03508771929824561,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.017543859649122806,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,Tel Aviv,198863.0,151800.0,7.1,25709.4,2,17,32.0873899,34.8324376,low
11,Dimona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South,34135.0,32400.0,29.9,193.7,4,111,31.0686612,35.0366482,low
12,Eilat,0.0,0.04,0.08,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,South,51935.0,47300.0,84.8,509.6,6,153,29.5569348,34.9497949,mid
13,El'ad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,47866.0,33900.0,2.8,13138.6,2,14,32.0495306,34.9507087,low
14,Giv'at Shmuel,0.018518518518518517,0.018518518518518517,0.09259259259259259,0.0,0.018518518518518517,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,0.0,0.09259259259259259,0.0,0.2777777777777778,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.037037037037037035,0.0,0.0,0.018518518518518517,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.037037037037037035,0.0,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.0,0.018518518518518517,0.0,0.0,0.0,Center,26023.0,21000.0,2.6,9978.1,8,214,32.0769463,34.8524656,high
15,Givatayim,0.0,0.0,0.06896551724137931,0.0,0.017241379310344827,0.0,0.13793103448275862,0.017241379310344827,0.0,0.0,0.0,0.034482758620689655,0.0,0.13793103448275862,0.0,0.0,0.08620689655172414,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.017241379310344827,0.034482758620689655,0.0,0.05172413793103448,0.0,0.0,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,Tel Aviv,60212.0,52100.0,3.3,18058.2,8,234,32.0729606,34.8113279,high
16,Hadera,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,Haifa,95683.0,79400.0,49.4,1809.2,6,155,32.43699,34.9198258,mid
17,Haifa,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.019230769230769232,0.0,0.019230769230769232,0.0,0.038461538461538464,0.0,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.057692307692307696,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.057692307692307696,0.0,0.15384615384615385,0.019230769230769232,0.0,0.0,0.0,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,Haifa,283640.0,264300.0,63.7,4331.4,7,188,32.8191218,34.9983856,mid
18,Herzliya,0.0,0.0,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.08064516129032258,0.0,0.0,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.0,0.3709677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.03225806451612903,0.04838709677419355,0.06451612903225806,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.0,0.0,0.0,0.0,Tel Aviv,95142.0,86300.0,21.6,4291.0,8,232,32.1720339,34.8309984,high
19,Hod HaSharon,0.0,0.0,0.078125,0.0,0.015625,0.015625,0.046875,0.03125,0.0,0.03125,0.0,0.046875,0.0,0.296875,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.015625,0.125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.015625,0.0,0.0,0.0,Center,62325.0,46300.0,21.6,3058.9,8,241,32.1561974,34.8930354,high
